,ztfname,ra,dec,last_checked_mjd,last_checked_nr
0,ZTF18abtqevs,1.151269,51.9937851,0,0
1,ZTF19abfvhlx,334.9340123,-12.3035569,0,0
2,ZTF20abjfufv,334.2533771,30.6558256,0,0
3,ZTF19ablekwo,3.8390117,46.735732,0,0
4,ZTF20abwrcmq,17.6450926,2.1139145,0,0
5,ZTF19aanyuyh,328.5960055,15.1569747,0,0
6,ZTF23aamsekn,4.4842401,23.9842307,0,0
7,ZTF23aagpjyp,272.9870802,52.8411076,0,0
8,ZTF23aacdnjz,262.3339937,14.1843979,0,0
9,ZTF22aahgnxz,100.8069813,43.3795792,0,0
10,ZTF22ablxcrh,318.2908053, 12.8433689,0,0
11,ZTF22aaosioz,226.2674118,-7.2953044,0,0
12,ZTF22aalqzkz,329.269514,22.0716379,0,0
13,ZTF18aahhffw,207.36318755,26.46209995,0,0
14,ZTF21aaampui,124.7902869,24.7824588,0,0
15,ZTF20acwphqb,180.562244,14.3117502,0,0
